COUNTY,YEAR,INDI,DIFF,PCT_INCREASE
ALBANY,2009,775,172,22.193548387096776
ALBANY,2021,947,172,22.193548387096776
ALLEGANY,2009,69,17,24.63768115942029
ALLEGANY,2021,86,17,24.63768115942029
BRONX,2009,22938,10156,44.275874095387564
BRONX,2021,33094,10156,44.275874095387564
BROOME,2009,325,300,92.3076923076923
BROOME,2021,625,300,92.3076923076923
CATTARAUGUS,2009,61,66,108.19672131147541
CATTARAUGUS,2021,127,66,108.19672131147541
CAYUGA,2009,136,18,13.235294117647058
CAYUGA,2021,154,18,13.235294117647058
CHAUTAUQUA,2009,215,72,33.48837209302326
CHAUTAUQUA,2021,287,72,33.48837209302326
CHEMUNG,2009,19,109,573.6842105263158
CHEMUNG,2021,128,109,573.6842105263158
CHENANGO,2009,67,60,89.55223880597015
CHENANGO,2021,127,60,89.55223880597015
CLINTON,2009,49,130,265.3061224489796
CLINTON,2021,179,130,265.3061224489796
COLUMBIA,2009,169,-34,-20.118343195266274
COLUMBIA,2021,135,-34,-20.118343195266274
CORTLAND,2009,49,8,16.3265306122449
CORTLAND,2021,57,8,16.3265306122449
DELAWARE,2009,60,-43,-71.66666666666667
DELAWARE,2021,17,-43,-71.66666666666667
DUTCHESS,2009,374,366,97.86096256684492
DUTCHESS,2021,740,366,97.86096256684492
ERIE,2009,1157,664,57.38980121002593
ERIE,2021,1821,664,57.38980121002593
FRANKLIN,2009,44,94,213.63636363636363
FRANKLIN,2021,138,94,213.63636363636363
FULTON,2009,91,17,18.681318681318682
FULTON,2021,108,17,18.681318681318682
GENESEE,2009,46,103,223.91304347826087
GENESEE,2021,149,103,223.91304347826087
GREENE,2009,154,-84,-54.54545454545455
GREENE,2021,70,-84,-54.54545454545455
HERKIMER,2009,88,-51,-57.95454545454545
HERKIMER,2021,37,-51,-57.95454545454545
JEFFERSON,2009,119,176,147.89915966386553
JEFFERSON,2021,295,176,147.89915966386553
KINGS,2009,20422,8075,39.54069141122319
KINGS,2021,28497,8075,39.54069141122319
LEWIS,2009,22,13,59.09090909090909
LEWIS,2021,35,13,59.09090909090909
LIVINGSTON,2009,91,19,20.87912087912088
LIVINGSTON,2021,110,19,20.87912087912088
MADISON,2009,75,19,25.333333333333332
MADISON,2021,94,19,25.333333333333332
MONROE,2009,1308,986,75.38226299694189
MONROE,2021,2294,986,75.38226299694189
MONTGOMERY,2009,81,136,167.90123456790124
MONTGOMERY,2021,217,136,167.90123456790124
NASSAU,2009,1280,1000,78.125
NASSAU,2021,2280,1000,78.125
NEW YORK,2009,12262,5768,47.03963464361442
NEW YORK,2021,18030,5768,47.03963464361442
NIAGARA,2009,284,331,116.54929577464789
NIAGARA,2021,615,331,116.54929577464789
ONEIDA,2009,152,318,209.21052631578948
ONEIDA,2021,470,318,209.21052631578948
ONONDAGA,2009,1031,980,95.05334626576139
ONONDAGA,2021,2011,980,95.05334626576139
ONTARIO,2009,277,57,20.577617328519857
ONTARIO,2021,334,57,20.577617328519857
ORANGE,2009,1437,161,11.203897007654836
ORANGE,2021,1598,161,11.203897007654836
ORLEANS,2009,75,15,20
ORLEANS,2021,90,15,20
OSWEGO,2009,621,256,41.22383252818035
OSWEGO,2021,877,256,41.22383252818035
OTSEGO,2009,61,-29,-47.540983606557376
OTSEGO,2021,32,-29,-47.540983606557376
PUTNAM,2009,151,-90,-59.602649006622514
PUTNAM,2021,61,-90,-59.602649006622514
QUEENS,2009,9432,12809,135.80364715860898
QUEENS,2021,22241,12809,135.80364715860898
RENSSELAER,2009,508,-36,-7.086614173228346
RENSSELAER,2021,472,-36,-7.086614173228346
RICHMOND,2009,1830,581,31.74863387978142
RICHMOND,2021,2411,581,31.74863387978142
ROCKLAND,2009,340,1093,321.47058823529414
ROCKLAND,2021,1433,1093,321.47058823529414
SARATOGA,2009,577,-125,-21.663778162911612
SARATOGA,2021,452,-125,-21.663778162911612
SCHENECTADY,2009,119,386,324.3697478991597
SCHENECTADY,2021,505,386,324.3697478991597
SCHOHARIE,2009,37,27,72.97297297297297
SCHOHARIE,2021,64,27,72.97297297297297
SCHUYLER,2009,31,-11,-35.483870967741936
SCHUYLER,2021,20,-11,-35.483870967741936
SENECA,2009,70,78,111.42857142857143
SENECA,2021,148,78,111.42857142857143
STEUBEN,2009,125,155,124
STEUBEN,2021,280,155,124
SUFFOLK,2009,3173,559,17.617396785376616
SUFFOLK,2021,3732,559,17.617396785376616
SULLIVAN,2009,406,-56,-13.793103448275861
SULLIVAN,2021,350,-56,-13.793103448275861
TIOGA,2009,67,7,10.447761194029852
TIOGA,2021,74,7,10.447761194029852
TOMPKINS,2009,117,109,93.16239316239316
TOMPKINS,2021,226,109,93.16239316239316
ULSTER,2009,490,103,21.020408163265305
ULSTER,2021,593,103,21.020408163265305
WARREN,2009,55,212,385.45454545454544
WARREN,2021,267,212,385.45454545454544
WASHINGTON,2009,105,70,66.66666666666667
WASHINGTON,2021,175,70,66.66666666666667
WAYNE,2009,145,161,111.03448275862068
WAYNE,2021,306,161,111.03448275862068
WESTCHESTER,2009,1818,308,16.94169416941694
WESTCHESTER,2021,2126,308,16.94169416941694
WYOMING,2009,53,-30,-56.60377358490566
WYOMING,2021,23,-30,-56.60377358490566
YATES,2009,39,-4,-10.256410256410257
YATES,2021,35,-4,-10.256410256410257
