COUNTY,County,YEAR,INDI,DIFF,PCT_INCREASE
ALBANY,Albany,2021,947,172,22.19354839
ALLEGANY,Allegany,2021,86,17,24.63768116
BRONX,Bronx,2021,33094,10156,44.2758741
BROOME,Broome,2021,625,300,92.30769231
CATTARAUGUS,Cattaraugus,2021,127,66,108.1967213
CAYUGA,Cayuga,2021,154,18,13.23529412
CHAUTAUQUA,Chautauqua,2021,287,72,33.48837209
CHEMUNG,Chemung,2021,128,109,573.6842105
CHENANGO,Chenango,2021,127,60,89.55223881
CLINTON,Clinton,2021,179,130,265.3061224
COLUMBIA,Columbia,2021,135,-34,-20.1183432
CORTLAND,Cortland,2021,57,8,16.32653061
DELAWARE,Delaware,2021,17,-43,-71.66666667
DUTCHESS,Dutchess,2021,740,366,97.86096257
ERIE,Erie,2021,1821,664,57.38980121
FRANKLIN,Franklin,2021,138,94,213.6363636
FULTON,Fulton,2021,108,17,18.68131868
GENESEE,Genesee,2021,149,103,223.9130435
GREENE,Greene,2021,70,-84,-54.54545455
HERKIMER,Herkimer,2021,37,-51,-57.95454545
JEFFERSON,Jefferson,2021,295,176,147.8991597
KINGS,Kings,2021,28497,8075,39.54069141
LEWIS,Lewis,2021,35,13,59.09090909
LIVINGSTON,Livingston,2021,110,19,20.87912088
MADISON,Madison,2021,94,19,25.33333333
MONROE,Monroe,2021,2294,986,75.382263
MONTGOMERY,Montgomery,2021,217,136,167.9012346
NASSAU,Nassau,2021,2280,1000,78.125
NEW YORK,New York,2021,18030,5768,47.03963464
NIAGARA,Niagara,2021,615,331,116.5492958
ONEIDA,Oneida,2021,470,318,209.2105263
ONONDAGA,Onondaga,2021,2011,980,95.05334627
ONTARIO,Ontario,2021,334,57,20.57761733
ORANGE,Orange,2021,1598,161,11.20389701
ORLEANS,Orleans,2021,90,15,20
OSWEGO,Oswego,2021,877,256,41.22383253
OTSEGO,Otsego,2021,32,-29,-47.54098361
PUTNAM,Putnam,2021,61,-90,-59.60264901
QUEENS,Queens,2021,22241,12809,135.8036472
RENSSELAER,Rensselaer,2021,472,-36,-7.086614173
RICHMOND,Richmond,2021,2411,581,31.74863388
ROCKLAND,Rockland,2021,1433,1093,321.4705882
SARATOGA,Saratoga,2021,452,-125,-21.66377816
SCHENECTADY,Schenectady,2021,505,386,324.3697479
SCHOHARIE,Schoharie,2021,64,27,72.97297297
SCHUYLER,Schuyler,2021,20,-11,-35.48387097
SENECA,Seneca,2021,148,78,111.4285714
STEUBEN,Steuben,2021,280,155,124
SUFFOLK,Suffolk,2021,3732,559,17.61739679
SULLIVAN,Sullivan,2021,350,-56,-13.79310345
TIOGA,Tioga,2021,74,7,10.44776119
TOMPKINS,Tompkins,2021,226,109,93.16239316
ULSTER,Ulster,2021,593,103,21.02040816
WARREN,Warren,2021,267,212,385.4545455
WASHINGTON,Washington,2021,175,70,66.66666667
WAYNE,Wayne,2021,306,161,111.0344828
WESTCHESTER,Westchester,2021,2126,308,16.94169417
WYOMING,Wyoming,2021,23,-30,-56.60377358
YATES,Yates,2021,35,-4,-10.25641026
